Year,Money
2007,9372.48
2007,9045.53
2007,9422.19
2007,9736.28
2007,9894.56
2007,9445.53
2007,9163.58
2008,9250.12
2008,9093.96
2008,9472.02
2008,9780.11
2008,9729.89
2008,9182.32
2008,9313.92
2008,9465.98
2008,9411.24
2008,7419.57
2008,6798.51
2008,7652.2
2009,6689.34
2009,5801.17
2009,5983.28
2009,7028.01
2009,7173.7
2009,7007.25
2009,7452.67
2009,8155.57
2009,8574.69
2009,8324.53
2009,8775.13
2009,9017.33
2010,8744.38
2010,9038.73
2010,9581.98
2010,10117.4
2010,9907.75
2010,9706.91
2010,10198.04
2010,10322.71
2010,10554.41
2010,10823.46
2010,10674.04
2010,10891.16
2011,11054.26
2011,11439.53
2011,11356.7
2011,11863.89
2011,12041.17
2011,11751.31
2011,12063.99
2011,11943.13
2011,11347.87
2011,12246.93
2011,12033.31
2011,12386.88
2012,12941.26
2012,12763.57
2012,13049.28
2012,13392.99
2012,13224.93
2012,13610.3
2012,13909.28
2012,13885.36
2012,13694.97
2012,13585.95
2012,13587.04
2012,13802.06
2013,13996.29
2013,14077.26
2013,14310.87
2013,14961.48
2013,14115.89
2013,13733.44
2013,13783.5
2013,13187.05
2013,13431.84
2013,13794.08
2013,13223.41
2013,13146.77
2014,13696.87
2014,14164.77
2014,14209.99
2014,14589.67
2014,14896.61
2014,15011.34
2014,15044.51
2014,15446.17
2014,14768.31
2014,15748.1
2014,16050.18
2014,16309.81
2015,17432.38
2015,16785.39
2015,16987.75
2015,16301.51
2015,16215.93
2015,15612.86
2015,16236.27
2015,15639.26
2015,15954.23
2015,16513.13
2015,16424.59
2015,16613
2016,16298.32
2016,16478.71
2016,17522.22
2016,17275.15
2016,17456.26
2016,18427.73
2016,18895.28
2016,18405.88
2016,18235.4
2016,17496.22
2016,16905.5
2016,17338.49
2017,17386.5
2017,17936.36
2017,17754.79
2017,17827.87
2017,17904.98
2017,18081.13
2017,18200.47
2017,18429.33
2017,18201.74
2017,18249.59
2017,18572.46
2017,18619.68
2018,18217.24
2018,17357.22
2018,17861.91
2018,17805.55
2018,18152.91
2018,18642.83
2018,18675.75
2018,19005.61
2018,18619.49
2018,18168.74
2018,18750.04
2018,18130.14
2019,19379.22
2019,19435.61
2019,20306.29
2019,20259.56
2019,20695.01
2019,21023.91
2019,21256.46
2019,22428.97
2019,22445.31
2019,22373.65
2019,22124
2019,22328.26
2020,22906.17
2020,22483.23
2020,20853.73
2020,22117.11
2020,22432.88
2020,22734.18
2020,23645.28
2020,23435.28
2020,23020.45
2020,22425.77
2020,23319.71
2020,23644.53
2021,23544.04
2021,23306.26
2021,23889.12
2021,25165.67
2021,25416.59
2021,26098.7
2021,26889.32
2021,27346.92
2021,26102.72
2021,27259.4
2021,27259.77
2021,28719.33
2022,26725.66
2022,26096.33
2022,26994.89
2022,25939.79
2022,25170.61
2022,23982.89
2022,25307.04
2022,24101.74
2022,21591.04
2022,21558.05
2022,22790.95
2022,21997.21
2023,23676.26
2023,22472.58
2023,22725.65
2023,22800.04
2023,22037.17
2023,22675.5
